Day fraction since midnight on 11/10/2022	7 kPa (cm)	Raw Water Pump ()	Pump Control ()	Clay Pump ()	PACl Pump ()	Floc Recycle Pump ()	Bulk Effluent Pump ()	ChemTrac Read All ()	PC 1.2 Total N ()	PC 1.2 Bin 1 N ()	PC 1.2 Bin 2 N ()	PC 1.2 Bin 3 N ()	PC 1.2 Bin 4 N ()	PC 1.2 Bin 5 N ()	PC 1.2 Bin 6 N ()	PC 1.2 Cell ()	PC 1.3 Total N ()	PC 1.3 Bin 1 N ()	PC 1.3 Bin 2 N ()	PC 1.3 Bin 3 N ()	PC 1.3 Bin 4 N ()	PC 1.3 Bin 5 N ()	PC 1.3 Bin 6 N ()	PC 1.3 Cell ()	PACl Scale ()	Raw Turbidity ()	Settled Water Turbidimeter ()	Basin Pump Duty Cycle ()
0.03715514	14.41919518	56.33333333	0.92592593	30.00000000	2.57606178	60.00000000	261.34549601	5762.36027479	28636.00000000	146.00000000	482.00000000	3308.00000000	13915.00000000	10584.00000000	202.00000000	85.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	87.00000000	1229.30000000	110.00000000	110.00000000	0.00000000
0.03784960	15.31761265	56.33333333	0.92592593	30.00000000	2.57606178	60.00000000	261.34549601	5822.46379042	28657.00000000	158.00000000	491.00000000	3340.00000000	13945.00000000	10500.00000000	223.00000000	85.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	87.00000000	1229.30000000	110.00000000	110.00000000	0.00000000
0.03854406	15.76566410	56.33333333	0.92592593	30.00000000	2.57606178	60.00000000	261.34549601	5882.37494516	28663.00000000	148.00000000	488.00000000	3312.00000000	13863.00000000	10649.00000000	203.00000000	85.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	87.00000000	1229.30000000	110.00000000	110.00000000	0.00000000
0.03923852	14.98861980	56.33333333	0.92592593	30.00000000	2.57606178	60.00000000	261.34549601	5941.90396976	28663.00000000	148.00000000	488.00000000	3312.00000000	13863.00000000	10649.00000000	203.00000000	85.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	87.00000000	1229.30000000	110.00000000	110.00000000	0.00000000
0.03993296	15.13087273	56.33333333	0.92592593	30.00000000	2.57606178	60.00000000	261.34549601	6002.40755224	28720.00000000	147.00000000	491.00000000	3276.00000000	13911.00000000	10658.00000000	235.00000000	85.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	87.00000000	1229.40000000	110.00000000	110.00000000	0.00000000
0.04062741	15.14864635	56.33333333	0.92592593	30.00000000	2.57606178	60.00000000	261.34549601	6062.31990910	28615.00000000	143.00000000	479.00000000	3247.00000000	13709.00000000	10812.00000000	225.00000000	85.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	87.00000000	1229.40000000	110.00000000	110.00000000	0.00000000
0.04132187	15.51018620	56.33333333	0.92592593	30.00000000	2.57606178	60.00000000	261.34549601	6122.42336559	28651.00000000	142.00000000	488.00000000	3295.00000000	13879.00000000	10629.00000000	218.00000000	85.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	87.00000000	1229.40000000	110.00000000	110.00000000	0.00000000
0.04201633	15.18892670	56.33333333	0.92592593	30.00000000	2.57606178	60.00000000	261.34549601	6182.54019594	28629.00000000	135.00000000	464.00000000	3185.00000000	13710.00000000	10914.00000000	222.00000000	85.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	87.00000000	1229.40000000	110.00000000	110.00000000	0.00000000
0.04271078	15.65563202	56.33333333	0.92592593	30.00000000	2.57606178	60.00000000	261.34549601	6242.45321798	28648.00000000	151.00000000	476.00000000	3286.00000000	13914.00000000	10609.00000000	211.00000000	85.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	87.00000000	1229.50000000	110.00000000	110.00000000	0.00000000
0.04340522	15.79973030	56.33333333	0.92592593	30.00000000	2.57606178	60.00000000	261.34549601	6302.18984747	28650.00000000	139.00000000	474.00000000	3211.00000000	13730.00000000	10881.00000000	214.00000000	85.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	87.00000000	1229.40000000	110.00000000	110.00000000	0.00000000
0.04409969	16.29718399	56.33333333	0.92592593	30.00000000	2.57606178	60.00000000	261.34549601	6362.48465204	28621.00000000	141.00000000	481.00000000	3242.00000000	13849.00000000	10703.00000000	205.00000000	85.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	87.00000000	1229.50000000	110.00000000	110.00000000	0.00000000
